[DBG] sensorHeight=65.0
Returned to Origin, Ready to Scan
[DBG] numPts=1500
50.00 420.00 28.00
50.00 410.00 29.00
50.00 400.00 29.00
50.00 390.00 27.00
50.00 380.00 26.00
50.00 370.00 27.00
50.00 360.00 26.00
50.00 350.00 26.00
50.00 340.00 25.00
50.00 330.00 24.00
50.00 320.00 24.00
50.00 310.00 24.00
50.00 300.00 23.00
50.00 290.00 25.00
50.00 280.00 25.00
50.00 270.00 23.00
50.00 260.00 24.00
50.00 250.00 24.00
50.00 240.00 24.00
50.00 230.00 24.00
50.00 220.00 24.00
50.00 210.00 24.00
50.00 200.00 25.00
50.00 190.00 24.00
50.00 180.00 24.00
50.00 170.00 23.00
50.00 160.00 24.00
50.00 150.00 23.00
50.00 140.00 24.00
50.00 130.00 21.00
50.00 120.00 21.00
50.00 110.00 23.00
50.00 100.00 21.00
50.00 90.00 21.00
50.00 80.00 21.00
50.00 70.00 21.00
50.00 60.00 20.00
50.00 50.00 19.00
50.00 40.00 17.00
50.00 30.00 16.00
50.00 20.00 15.00
50.00 10.00 15.00
50.00 0.00 14.00
60.00 0.00 14.00
60.00 10.00 13.00
60.00 20.00 15.00
60.00 30.00 15.00
60.00 40.00 16.00
60.00 50.00 17.00
60.00 60.00 17.00
60.00 70.00 20.00
60.00 80.00 19.00
60.00 90.00 21.00
60.00 100.00 20.00
60.00 110.00 20.00
60.00 120.00 19.00
60.00 130.00 20.00
60.00 140.00 19.00
60.00 150.00 20.00
60.00 160.00 21.00
60.00 170.00 23.00
60.00 180.00 20.00
60.00 190.00 21.00
60.00 200.00 23.00
60.00 210.00 21.00
60.00 220.00 23.00
60.00 230.00 23.00
60.00 240.00 21.00
60.00 250.00 21.00
60.00 260.00 23.00
60.00 270.00 23.00
60.00 280.00 23.00
60.00 290.00 23.00
60.00 300.00 23.00
60.00 310.00 23.00
60.00 320.00 23.00
60.00 330.00 24.00
60.00 340.00 24.00
60.00 350.00 25.00
60.00 360.00 25.00
60.00 370.00 26.00
60.00 380.00 27.00
60.00 390.00 27.00
60.00 400.00 27.00
60.00 410.00 28.00
